Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,Игорс Вихровс,2000 Sydney,Gymnastics Artistic,Men's,floor exercises,Images/Medal_Gold.png,LAT,Gold
NaN,Айгарс Фадеевс,2000 Sydney,Athletics,Men's,50km walk,Images/Medal_Silver.png,LAT,Silver
NaN,Всеволод Зелойнис,2000 Sydney,Judo,Men's,66 - 73kg (lightweight),Images/Medal_Bronze.png,LAT,Bronze
NaN,Вадимс Василевскис,2004 Athens,Athletics,Men's,javelin throw,Images/Medal_Silver.png,LAT,Silver
NaN,Евгений Сапроненко,2004 Athens,Gymnastics Artistic,Men's,vault,Images/Medal_Silver.png,LAT,Silver
NaN,Елена Рублевска,2004 Athens,Modern Pentathlon,Women's,individual competition,Images/Medal_Silver.png,LAT,Silver
NaN,Виктор Щербатых,2004 Athens,Weightlifting,Men's,+ 105kg (super heavyweight),Images/Medal_Silver.png,LAT,Silver
NaN,Martins RUBENIS,2006 Turin,Luge,Men's,singles,Images/Medal_Bronze.png,LAT,Bronze
NaN,Maris STROMBERGS,2008 Beijing,Cycling BMX Racing,Men's,racing individual,Images/Medal_Gold.png,LAT,Gold
NaN,Ainars KOVALS,2008 Beijing,Athletics,Men's,javelin throw,Images/Medal_Silver.png,LAT,Silver
NaN,Viktors SCERBATIHS,2008 Beijing,Weightlifting,Men's,+ 105kg (super heavyweight),Images/Medal_Bronze.png,LAT,Bronze
NaN,Andris SICSJuris SICS,2010 Vancouver,Luge,Mixed,doubles,Images/Medal_Silver.png,LAT,Silver
NaN,Martins DUKURS,2010 Vancouver,Skeleton,Men's,individual,Images/Medal_Silver.png,LAT,Silver
