Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,Rohullah NIKPAI,2008 Beijing,Taekwondo,Men's,- 58 kg,Images/Medal_Bronze.png,AFG,Bronze
NaN,Rohullah NIKPAI,2012 London,Taekwondo,Men's,58 - 68 kg,Images/Medal_Bronze.png,AFG,Bronze
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ALB,NaN
NaN,Mohamed ZAOUI,1984 Los Angeles,Boxing,Men's,71 - 75kg (middleweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Mustapha MOUSSA,1984 Los Angeles,Boxing,Men's,75 - 81kg (light-heavyweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Hassiba BOULMERKA,1992 Barcelona,Athletics,Women's,1500m,Images/Medal_Gold.png,ALG,Gold
NaN,Hocine SOLTANI,1992 Barcelona,Boxing,Men's,54 - 57kg (featherweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Морсели,1996 Atlanta,Athletics,Men's,1500m,Images/Medal_Gold.png,ALG,Gold
NaN,Солтани,1996 Atlanta,Boxing,Men's,57 - 60kg (lightweight),Images/Medal_Gold.png,ALG,Gold
NaN,Бахари,1996 Atlanta,Boxing,Men's,71 - 75kg (middleweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Нурия Мерах-Бенида,2000 Sydney,Athletics,Women's,1500m,Images/Medal_Gold.png,ALG,Gold
NaN,Али Саид-Сиф,2000 Sydney,Athletics,Men's,5000m,Images/Medal_Silver.png,ALG,Silver
NaN,Джабир Саид-Герни,2000 Sydney,Athletics,Men's,800m,Images/Medal_Bronze.png,ALG,Bronze
NaN,Абдерахман Хаммад,2000 Sydney,Athletics,Men's,high jump,Images/Medal_Bronze.png,ALG,Bronze
NaN,Мохамед Аллалу,2000 Sydney,Boxing,Men's,60 - 63.5kg (light-welterweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Amar BENIKHLEF,2008 Beijing,Judo,Men's,81 - 90kg (middleweight),Images/Medal_Silver.png,ALG,Silver
NaN,Soraya HADDAD,2008 Beijing,Judo,Women's,48 - 52kg (half-lightweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Taoufik MAKHLOUFI,2012 London,Athletics,Men's,1500m,Images/Medal_Gold.png,ALG,Gold
NaN,MAKHLOUFI Taoufik,2016 Rio de Janeiro,Athletics,Men's,800m,Images/Medal_Silver.png,ALG,Silver
NaN,MAKHLOUFI Taoufik,2016 Rio de Janeiro,Athletics,Men's,1500m,Images/Medal_Silver.png,ALG,Silver
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ASA,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,AND,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ANG,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ANT,NaN
NaN,Arturo KENNYJuan NELSONGuillermo NAYLORA. PENAEnrique PADILLAJuan MILES,1924 Paris,Polo,Men's,polo,Images/Medal_Gold.png,ARG,Gold
NaN,Luis BRUNETTO,1924 Paris,Athletics,Men's,triple jump,Images/Medal_Silver.png,ARG,Silver
NaN,Alfredo COPELLO,1924 Paris,Boxing,Men's,57.15 - 61.24kg (lightweight),Images/Medal_Silver.png,ARG,Silver
NaN,Héctor MÉNDEZ,1924 Paris,Boxing,Men's,61.24 - 66.68kg (welterweight),Images/Medal_Silver.png,ARG,Silver
NaN,Pedro QUARTUCCI,1924 Paris,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Alfredo PORZIO,1924 Paris,Boxing,Men's,66.68 - 72.57kg (middleweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Victor AVENDANO,1928 Amsterdam,Boxing,Men's,72.57 - 79.38kg (light-heavyweight),Images/Medal_Gold.png,ARG,Gold
NaN,Arturo RODRIGUEZ JURADO,1928 Amsterdam,Boxing,Men's,+ 79.38kg (heavyweight),Images/Medal_Gold.png,ARG,Gold
NaN,Alberto ZORRILLA,1928 Amsterdam,Swimming,Men's,400m freestyle,Images/Medal_Gold.png,ARG,Gold
NaN,Victor PERALTA,1928 Amsterdam,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Silver.png,ARG,Silver
NaN,Raúl LANDINI,1928 Amsterdam,Boxing,Men's,61.24 - 66.68kg (welterweight),Images/Medal_Silver.png,ARG,Silver
NaN,Manuel FERREIRAAngel BOSION. PERINETTIAngel Segundo MÉDICIS. N. GOMEZFernando PATERNOSTERP. OCHOALudovico BIDOGLIOA. HELMANL. F. WEIHMULLERRoberto CHERROSaúl CALANDRARodolfo ORLANDINIOctavio DIAZEnrique GAINZARAINDomingo TARASCONIAlfredo CARRICABERRYRaimondo ORSILuis Felipe MONTIJuan EVARISTOA. B. ZUMELZUFeliciano Angel PERDUCCA,1928 Amsterdam,Football,Men's,football,Images/Medal_Silver.png,ARG,Silver
NaN,Roberto LARRAZLuis LUCCHETTICarmelo CAMETRaúl ANGANUZZIHéctor LUCCHETTI,1928 Amsterdam,Fencing,Men's,foil team,Images/Medal_Bronze.png,ARG,Bronze
NaN,Juan Carlos ZABALA,1932 Los Angeles,Athletics,Men's,marathon,Images/Medal_Gold.png,ARG,Gold
NaN,Carmelo ROBLEDO,1932 Los Angeles,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Gold.png,ARG,Gold
NaN,Santiago LOVELL,1932 Los Angeles,Boxing,Men's,+ 79.38kg (heavyweight),Images/Medal_Gold.png,ARG,Gold
NaN,Amado AZAR,1932 Los Angeles,Boxing,Men's,66.68 - 72.57kg (middleweight),Images/Medal_Silver.png,ARG,Silver
NaN,Oscar CASANOVAS,1936 Berlin,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Gold.png,ARG,Gold
NaN,Manuel ANDRADALuis DUGGANAndrès GAZZOTTIRoberto CAVANAGH,1936 Berlin,Polo,Men's,polo,Images/Medal_Gold.png,ARG,Gold
NaN,Guillermo LOVELL,1936 Berlin,Boxing,Men's,+ 79.38kg (heavyweight),Images/Medal_Silver.png,ARG,Silver
NaN,Jeanette CAMPBELL,1936 Berlin,Swimming,Women's,100m freestyle,Images/Medal_Silver.png,ARG,Silver
NaN,Raul Vicente VILLAREAL,1936 Berlin,Boxing,Men's,66.68 - 72.57kg (middleweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Francisco RISIGLIONE,1936 Berlin,Boxing,Men's,72.57 - 79.38kg (light-heavyweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Julio Pedro CURATELLAHoracio PODESTA,1936 Berlin,Rowing,Men's,pair without coxswain (2-),Images/Medal_Bronze.png,ARG,Bronze
NaN,Delfo CABRERA,1948 London,Athletics,Men's,marathon,Images/Medal_Gold.png,ARG,Gold
NaN,Pascual Nicolas PEREZ,1948 London,Boxing,Men's,- 51kg (flyweight),Images/Medal_Gold.png,ARG,Gold
NaN,Rafael IGLESIAS,1948 London,Boxing,Men's,+ 80kg (heavyweight),Images/Medal_Gold.png,ARG,Gold
NaN,Noemi SIMONETTO DE PORTELA,1948 London,Athletics,Women's,long jump,Images/Medal_Silver.png,ARG,Silver
NaN,Rufino RODRIGUEZ DE LA TORREJulio SIEBURGEREnrique SIEBURGERRodolfo RIVADEMAREmilio HOMPSEnrique Conrado SIEBURGER JR.,1948 London,Sailing,Mixed,6m,Images/Medal_Silver.png,ARG,Silver
NaN,Carlos Enrique DIAZ SAENZ VALIENTE,1948 London,Shooting,Men's,25m rapid fire pistol,Images/Medal_Silver.png,ARG,Silver
NaN,Mauro CIA,1948 London,Boxing,Men's,73 - 80kg (light-heavyweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Eduardo GUERREROTranquilo CAPPOZZO,1952 Helsinki,Rowing,Men's,double sculls (2x),Images/Medal_Gold.png,ARG,Gold
NaN,Reinaldo GORNO,1952 Helsinki,Athletics,Men's,marathon,Images/Medal_Silver.png,ARG,Silver
NaN,Antonio PACENZA,1952 Helsinki,Boxing,Men's,75 - 81kg (light-heavyweight),Images/Medal_Silver.png,ARG,Silver
NaN,Eladio HERRERA,1952 Helsinki,Boxing,Men's,67 - 71kg (light-middleweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Humberto SELVETTI,1952 Helsinki,Weightlifting,Men's,+ 90kg (heavyweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Humberto SELVETTI,1956 Melbourne / Stockholm,Weightlifting,Men's,+ 90kg (heavyweight),Images/Medal_Silver.png,ARG,Silver
NaN,Victor ZALAZAR,1956 Melbourne / Stockholm,Boxing,Men's,71 - 75kg (middleweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Jorge Alberto SALAS CHAVESJorge Alberto DEL RIO SALASHector CALEGARIS,1960 Rome,Sailing,Mixed,dragon,Images/Medal_Silver.png,ARG,Silver
NaN,Abel LAUDONIO,1960 Rome,Boxing,Men's,57 - 60kg (lightweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Carlos MORATORIO,1964 Tokyo,Equestrian Eventing,Mixed,individual,Images/Medal_Silver.png,ARG,Silver
NaN,Mario GUILLOTI,1968 Mexico,Boxing,Men's,63.5 - 67kg (welterweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Alberto DEMIDDI,1968 Mexico,Rowing,Men's,single sculls (1x),Images/Medal_Bronze.png,ARG,Bronze
NaN,Alberto DEMIDDI,1972 Munich,Rowing,Men's,single sculls (1x),Images/Medal_Silver.png,ARG,Silver
NaN,Gabriela SABATINI,1988 Seoul,Tennis,Women's,singles,Images/Medal_Silver.png,ARG,Silver
NaN,Daniel Jorge CASTELLANIHugo Nestor CONTERaul Nicolas QUIROGAEsteban DE PALMAAlejandro DIZCarlos WEBERClaudio F. ZULIANELLOEsteban Eduardo MARTINEZWaldo Ariel KANTORJon Emili URIARTEJuan Carlos CUMINETTIDaniel M. COLLA,1988 Seoul,Volleyball,Men's,volleyball,Images/Medal_Bronze.png,ARG,Bronze
NaN,Javier FRANAChristian Carlos MINIUSSI,1992 Barcelona,Tennis,Men's,doubles,Images/Medal_Bronze.png,ARG,Bronze
NaN,NaN,1996 Atlanta,Football,Men's,football,Images/Medal_Silver.png,ARG,Silver
NaN,Эспиноса,1996 Atlanta,Sailing,Men's,board (Mistral) - Windsurfer,Images/Medal_Silver.png,ARG,Silver
NaN,Чакон,1996 Atlanta,Boxing,Men's,54 - 57kg (featherweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,NaN,2000 Sydney,Hockey,Women's,hockey,Images/Medal_Silver.png,ARG,Silver
NaN,Карлос Эспинола,2000 Sydney,Sailing,Men's,board (Mistral) - Windsurfer,Images/Medal_Silver.png,ARG,Silver
NaN,NaN,2000 Sydney,Sailing,Men's,470 - Two Person Dinghy,Images/Medal_Bronze.png,ARG,Bronze
NaN,Серена Амато,2000 Sydney,Sailing,Women's,single-handed dinghy (Europe),Images/Medal_Bronze.png,ARG,Bronze
NaN,NaN,2004 Athens,Basketball,Men's,basketball,Images/Medal_Gold.png,ARG,Gold
NaN,NaN,2004 Athens,Football,Men's,football,Images/Medal_Gold.png,ARG,Gold
NaN,NaN,2004 Athens,Hockey,Women's,hockey,Images/Medal_Bronze.png,ARG,Bronze
NaN,Сантьяго ЛангеКарлос Эспинола,2004 Athens,Sailing,Mixed,Tornado - Multihull,Images/Medal_Bronze.png,ARG,Bronze
NaN,Джорджина Бардаш,2004 Athens,Swimming,Women's,400m individual medley,Images/Medal_Bronze.png,ARG,Bronze
NaN,Паола СуаресПатрисия Тарабини,2004 Athens,Tennis,Women's,doubles,Images/Medal_Bronze.png,ARG,Bronze
NaN,Walter Fernando PEREZJuan CURUCHET,2008 Beijing,Cycling Track,Men's,Madison,Images/Medal_Gold.png,ARG,Gold
NaN,Sergio AGUEROJavier MASCHERANOPablo ZABALETALautaro ACOSTANicolas PAREJAJose SOSAEzequiel LAVEZZILionel MESSIFernando GAGOLuciano MONZONEver BANEGAJuan RIQUELMESergio ROMEROFederico FAZIOAngel DI MARIAEzequiel GARAYNicolas NAVARRODiego BUONANOTTE,2008 Beijing,Football,Men's,football,Images/Medal_Gold.png,ARG,Gold
NaN,Manu GINOBILIAlfredo Paolo QUINTEROSFabricio OBERTOLeonardo GUTIERREZGuillermo Federico KAMMERICHSJuan Pedro GUTIERREZ LLANASAntonio Alejandro PORTA PERNIGOTTIRoman Javier GONZALEZLuis SCOLACarlos DELFINOPablo PRIGIONIAndres Marcelo NOCIONI,2008 Beijing,Basketball,Men's,basketball,Images/Medal_Bronze.png,ARG,Bronze
NaN,Marine RUSSOMaria DE LA PAZ HERNÁNDEZPaola VUKOJICICMercedes MARGALOTCarla REBECCHIClaudia BURKARTMariana GONZALEZ OLIVAAgustina Soledad GARCIAMariana ROSSILuciana AYMARMagdalena AICEGANoel BARRIONUEVOBelen SUCCIGiselle KANEVSKYRosario LUCHETTIAlejandra GULLA,2008 Beijing,Hockey,Women's,hockey,Images/Medal_Bronze.png,ARG,Bronze
NaN,Paula Belen PARETO,2008 Beijing,Judo,Women's,- 48kg (extra-lightweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Carlos ESPINOLASantiago LANGE,2008 Beijing,Sailing,Mixed,Tornado - Multihull,Images/Medal_Bronze.png,ARG,Bronze
NaN,Sebastian Eduardo CRISMANICH,2012 London,Taekwondo,Men's,68 - 80 kg,Images/Medal_Gold.png,ARG,Gold
NaN,Sofia MACCARILaura DEL COLLEMacarena RODRIGUEZ PEREZJosefina SRUOGAMartina CAVALLERORosario LUCHETTIMariela SCARONEMaria Silvina D'ELIACarla REBECCHILuciana AYMARFlorencia HABIFNoel BARRIONUEVODaniela SRUOGARocio SANCHEZ MOCCIAFlorencia MUTIODelfina MERINO,2012 London,Hockey,Women's,hockey,Images/Medal_Silver.png,ARG,Silver
NaN,Lucas CALABRESEJuan DE LA FUENTE,2012 London,Sailing,Men's,470 - Two Person Dinghy,Images/Medal_Bronze.png,ARG,Bronze
NaN,Juan Martin DEL POTRO,2012 London,Tennis,Men's,singles,Images/Medal_Bronze.png,ARG,Bronze
NaN,Argentina,2016 Rio de Janeiro,Hockey,Men's,hockey,Images/Medal_Gold.png,ARG,Gold
NaN,PARETO Paula,2016 Rio de Janeiro,Judo,Women's,- 48kg (extra-lightweight),Images/Medal_Gold.png,ARG,Gold
NaN,LangeCarranza Saroli,2016 Rio de Janeiro,Sailing,Mixed,Nacra 17 - Multihull,Images/Medal_Gold.png,ARG,Gold
NaN,DEL POTRO Juan Martin,2016 Rio de Janeiro,Tennis,Men's,singles,Images/Medal_Silver.png,ARG,Silver
NaN,ALONSO AgostinaCOSTA BIONDI Valentina IsabelGORZELANY AgustinaGRANATTO Maria VictoriaMACCARI SofiaRAPOSO RUIZ de los LLANOS ValentinaSANCHEZ MOCCIA RocioSUCCI Maria BelenTRINCHINETTI Eugenia MariaALBERTARRIO AgustinaBARRIONUEVO Maria NoelFORCHERIO Maria EmiliaGRANATTO Maria JoseJANKUNAS JulietaMERINO DelfinaRETEGUI MicaelaSAUZE VALDEZ VictoriaTOCCALINO Sofia,2021 Tokyo,Hockey,Women's,hockey,Images/Medal_Silver.png,ARG,Silver
NaN,BAZAN VELEZ Lautarodel MESTRE FelipeGONZALEZ LucianoMARE SantiagoMONETA MarcosREVOL GastonALVAREZ SantiagoCINTI LucioETCHART RodrigoISGRO RodrigoMENDY IgnacioOSADCZUK MatiasSCHULZ German,2021 Tokyo,Rugby,Men's,rugby-7,Images/Medal_Bronze.png,ARG,Bronze
NaN,DANANI SantiagoLIMA BrunoMENDEZ NicolasPEREYRA FedericoRAMOS MartinSOLE SebastianCONTE Facundode CECCO LucianoLOSER AgustinPALACIOS EzequielPOGLAJEN CristianSANCHEZ Matias,2021 Tokyo,Volleyball,Men's,volleyball,Images/Medal_Bronze.png,ARG,Bronze
NaN,Назарян,1996 Atlanta,Wrestling Greco-Roman,Men's,48 - 52kg (flyweight),Images/Medal_Gold.png,ARM,Gold
NaN,Мхитарян,1996 Atlanta,Wrestling Freestyle,Men's,- 48kg (light-flyweight),Images/Medal_Silver.png,ARM,Silver
NaN,Арсен Меликян,2000 Sydney,Weightlifting,Men's,69 - 77kg (middleweight),Images/Medal_Bronze.png,ARM,Bronze
NaN,Tigran Varban MARTIROSYAN,2008 Beijing,Weightlifting,Men's,77 - 85kg (light-heavyweight),Images/Medal_Silver.png,ARM,Silver
NaN,Hrachik JAVAKHYAN,2008 Beijing,Boxing,Men's,57 - 60kg (lightweight),Images/Medal_Bronze.png,ARM,Bronze
NaN,Gevorg DAVTYAN,2008 Beijing,Weightlifting,Men's,69 - 77kg (middleweight),Images/Medal_Bronze.png,ARM,Bronze
NaN,Roman AMOYAN,2008 Beijing,Wrestling Greco-Roman,Men's,- 55kg,Images/Medal_Bronze.png,ARM,Bronze
NaN,Yuri PATRIKEEV,2008 Beijing,Wrestling Greco-Roman,Men's,96 - 120kg,Images/Medal_Bronze.png,ARM,Bronze
NaN,Arsen JULFALAKYAN,2012 London,Wrestling Greco-Roman,Men's,66 - 74kg,Images/Medal_Silver.png,ARM,Silver
NaN,Artur ALEKSANYAN,2012 London,Wrestling Greco-Roman,Men's,84 - 96kg,Images/Medal_Bronze.png,ARM,Bronze
NaN,ALEKSANYAN Artur,2016 Rio de Janeiro,Wrestling Greco-Roman,Men's,98kg,Images/Medal_Gold.png,ARM,Gold
NaN,MARTIROSYAN Simon,2016 Rio de Janeiro,Weightlifting,Men's,94 - 105kg (heavyweight),Images/Medal_Silver.png,ARM,Silver
NaN,MINASYAN Gor,2016 Rio de Janeiro,Weightlifting,Men's,+ 105kg (super heavyweight),Images/Medal_Silver.png,ARM,Silver
NaN,ARUTYUNYAN Migran,2016 Rio de Janeiro,Wrestling Greco-Roman,Men's,66kg,Images/Medal_Silver.png,ARM,Silver
NaN,MARTIROSYAN Simon,2021 Tokyo,Weightlifting,Men's,109kg,Images/Medal_Silver.png,ARM,Silver
NaN,ALEKSANYAN Artur,2021 Tokyo,Wrestling Greco-Roman,Men's,97kg,Images/Medal_Silver.png,ARM,Silver
NaN,BACHKOV Hovhannes,2021 Tokyo,Boxing,Men's,57 - 63kg (lightweight),Images/Medal_Bronze.png,ARM,Bronze
NaN,DAVTYAN Artur,2021 Tokyo,Gymnastics Artistic,Men's,vault,Images/Medal_Bronze.png,ARM,Bronze
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ARU,NaN
NaN,Edwin FLACK,1896 Athens,Athletics,Men's,800m,Images/Medal_Gold.png,AUS,Gold
NaN,Edwin FLACK,1896 Athens,Athletics,Men's,1500m,Images/Medal_Gold.png,AUS,Gold
NaN,Frederick C.V. LANE,1900 Paris,Swimming,Men's,200m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Frederick C.V. LANE,1900 Paris,Swimming,Men's,200m obstacle event,Images/Medal_Gold.png,AUS,Gold
NaN,Stanley ROWLEY,1900 Paris,Athletics,Men's,60m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Stanley ROWLEY,1900 Paris,Athletics,Men's,100m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Stanley ROWLEY,1900 Paris,Athletics,Men's,200m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Francis GAILEY,1904 St Louis,Swimming,Men's,220y freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Francis GAILEY,1904 St Louis,Swimming,Men's,440y freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Francis GAILEY,1904 St Louis,Swimming,Men's,880y freestyle (804.66m),Images/Medal_Silver.png,AUS,Silver
NaN,Francis GAILEY,1904 St Louis,Swimming,Men's,1 mile freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,George PARKER,1920 Antwerp,Athletics,Men's,3000m walk,Images/Medal_Silver.png,AUS,Silver
NaN,William HERALDFrank E. BEAUREPAIREHenry HAYIvan STEDMAN,1920 Antwerp,Swimming,Men's,4x200m freestyle relay,Images/Medal_Silver.png,AUS,Silver
NaN,Frank E. BEAUREPAIRE,1920 Antwerp,Swimming,Men's,1500m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Nick WINTER,1924 Paris,Athletics,Men's,triple jump,Images/Medal_Gold.png,AUS,Gold
NaN,Richmond EVE,1924 Paris,Diving,Men's,plain high diving,Images/Medal_Gold.png,AUS,Gold
NaN,Andrew CHARLTON,1924 Paris,Swimming,Men's,1500m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Ernest HENRYIvan STEDMANMaurice CHRISTIEAndrew CHARLTONFrank BEAUREPAIRE,1924 Paris,Swimming,Men's,4x200m freestyle relay,Images/Medal_Silver.png,AUS,Silver
NaN,Andrew CHARLTON,1924 Paris,Swimming,Men's,400m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Frank BEAUREPAIRE,1924 Paris,Swimming,Men's,1500m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Bobby PEARCE,1928 Amsterdam,Rowing,Men's,single sculls (1x),Images/Medal_Gold.png,AUS,Gold
NaN,Andrew CHARLTON,1928 Amsterdam,Swimming,Men's,400m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Andrew CHARLTON,1928 Amsterdam,Swimming,Men's,1500m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Edgar Laurence GRAY,1928 Amsterdam,Cycling Track,Men's,1km time trial,Images/Medal_Bronze.png,AUS,Bronze
NaN,Edgar Laurence GRAY,1932 Los Angeles,Cycling Track,Men's,1km time trial,Images/Medal_Gold.png,AUS,Gold
NaN,Bobby PEARCE,1932 Los Angeles,Rowing,Men's,single sculls (1x),Images/Medal_Gold.png,AUS,Gold
NaN,Clare DENNIS,1932 Los Angeles,Swimming,Women's,200m breaststroke,Images/Medal_Gold.png,AUS,Gold
NaN,Bonnie MEALING,1932 Los Angeles,Swimming,Women's,100m backstroke,Images/Medal_Silver.png,AUS,Silver
NaN,Eddie SCARF,1932 Los Angeles,Wrestling Freestyle,Men's,79 - 87kg (light-heavyweight),Images/Medal_Bronze.png,AUS,Bronze
NaN,Jack METCALFE,1936 Berlin,Athletics,Men's,triple jump,Images/Medal_Bronze.png,AUS,Bronze
NaN,John WINTER,1948 London,Athletics,Men's,high jump,Images/Medal_Gold.png,AUS,Gold
NaN,Mervyn WOOD,1948 London,Rowing,Men's,single sculls (1x),Images/Medal_Gold.png,AUS,Gold
NaN,Thomas Theodore BRUCE,1948 London,Athletics,Men's,long jump,Images/Medal_Silver.png,AUS,Silver
NaN,George Gordon AVERY,1948 London,Athletics,Men's,triple jump,Images/Medal_Silver.png,AUS,Silver
NaN,Shirley STRICKLANDJune MASTONJoyce KINGBetty MCKINNON,1948 London,Athletics,Women's,4x100m relay,Images/Medal_Silver.png,AUS,Silver
NaN,John MARSHALL,1948 London,Swimming,Men's,1500m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Nancy LYONS,1948 London,Swimming,Women's,200m breaststroke,Images/Medal_Silver.png,AUS,Silver
NaN,Richard Edward GARRARD,1948 London,Wrestling Freestyle,Men's,67 - 73kg (welterweight),Images/Medal_Silver.png,AUS,Silver
NaN,Shirley STRICKLAND,1948 London,Athletics,Women's,100m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Shirley STRICKLAND,1948 London,Athletics,Women's,80m hurdles,Images/Medal_Bronze.png,AUS,Bronze
NaN,John MARSHALL,1948 London,Swimming,Men's,400m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Judy DAVIES,1948 London,Swimming,Women's,100m backstroke,Images/Medal_Bronze.png,AUS,Bronze
NaN,Joseph ARMSTRONG,1948 London,Wrestling Freestyle,Men's,+ 87kg (heavyweight),Images/Medal_Bronze.png,AUS,Bronze
NaN,Marjorie JACKSON,1952 Helsinki,Athletics,Women's,100m,Images/Medal_Gold.png,AUS,Gold
NaN,Marjorie JACKSON,1952 Helsinki,Athletics,Women's,200m,Images/Medal_Gold.png,AUS,Gold
NaN,Shirley STRICKLAND,1952 Helsinki,Athletics,Women's,80m hurdles,Images/Medal_Gold.png,AUS,Gold
NaN,Russell MOCKRIDGE,1952 Helsinki,Cycling Track,Men's,1km time trial,Images/Medal_Gold.png,AUS,Gold
NaN,Lionel COXRussell MOCKRIDGE,1952 Helsinki,Cycling Track,Men's,2000m tandem,Images/Medal_Gold.png,AUS,Gold
NaN,John DAVIES,1952 Helsinki,Swimming,Men's,200m breaststroke,Images/Medal_Gold.png,AUS,Gold
NaN,Lionel COX,1952 Helsinki,Cycling Track,Men's,sprint individual,Images/Medal_Silver.png,AUS,Silver
NaN,Mervyn WOOD,1952 Helsinki,Rowing,Men's,single sculls (1x),Images/Medal_Silver.png,AUS,Silver
NaN,Shirley STRICKLAND,1952 Helsinki,Athletics,Women's,100m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Thomas CHESSELMervyn FINLAYRobert TINNINGDavid ANDERSONNimrod GREENWOODErnest CHAPMANEdward PAINPhilip CAYZERGeoffrey WILLIAMSON,1952 Helsinki,Rowing,Men's,eight with coxswain (8+),Images/Medal_Bronze.png,AUS,Bronze
NaN,Verdi BARBERIS,1952 Helsinki,Weightlifting,Men's,60 - 67.5kg (lightweight),Images/Medal_Bronze.png,AUS,Bronze
NaN,Betty CUTHBERT,1956 Melbourne / Stockholm,Athletics,Women's,100m,Images/Medal_Gold.png,AUS,Gold
NaN,Betty CUTHBERT,1956 Melbourne / Stockholm,Athletics,Women's,200m,Images/Medal_Gold.png,AUS,Gold
NaN,Shirley STRICKLAND,1956 Melbourne / Stockholm,Athletics,Women's,80m hurdles,Images/Medal_Gold.png,AUS,Gold
NaN,Norma CROKERShirley STRICKLANDFleur MELLORBetty CUTHBERT,1956 Melbourne / Stockholm,Athletics,Women's,4x100m relay,Images/Medal_Gold.png,AUS,Gold
NaN,Anthony John MARCHANTIan Sterry BROWNE,1956 Melbourne / Stockholm,Cycling Track,Men's,2000m tandem,Images/Medal_Gold.png,AUS,Gold
NaN,Jon HENRICKS,1956 Melbourne / Stockholm,Swimming,Men's,100m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Murray ROSE,1956 Melbourne / Stockholm,Swimming,Men's,400m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Murray ROSE,1956 Melbourne / Stockholm,Swimming,Men's,1500m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,David THEILE,1956 Melbourne / Stockholm,Swimming,Men's,100m backstroke,Images/Medal_Gold.png,AUS,Gold
NaN,Jon HENRICKSJohn DEVITTKevin O'HALLORANMurray ROSE,1956 Melbourne / Stockholm,Swimming,Men's,4x200m freestyle relay,Images/Medal_Gold.png,AUS,Gold
NaN,Dawn FRASER,1956 Melbourne / Stockholm,Swimming,Women's,100m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Lorraine CRAPP,1956 Melbourne / Stockholm,Swimming,Women's,400m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Lorraine CRAPPDawn FRASERFaith LEECHSandra MORGAN,1956 Melbourne / Stockholm,Swimming,Women's,4x100m freestyle relay,Images/Medal_Gold.png,AUS,Gold
NaN,Graham GIPSONDave LEANKevan GOSPERLeon GREGORY,1956 Melbourne / Stockholm,Athletics,Men's,4x400m relay,Images/Medal_Silver.png,AUS,Silver
NaN,Charles PORTER,1956 Melbourne / Stockholm,Athletics,Men's,high jump,Images/Medal_Silver.png,AUS,Silver
NaN,Stuart MACKENZIE,1956 Melbourne / Stockholm,Rowing,Men's,single sculls (1x),Images/Medal_Silver.png,AUS,Silver
NaN,Rolly TASKERJohn SCOTT,1956 Melbourne / Stockholm,Sailing,Mixed,sharpie 12m2,Images/Medal_Silver.png,AUS,Silver
